From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Line,Line R (pu),Line X (pu),Charging B (pu),Length,r,x,b,l,c,z,y,,,,,,,
2230,VICTO-2     220.00,2240,RANDE-2     220.00,1,16,0.00129,0.01037,0.03201,16.4,0.038070732,0.306041463,4.03271E-06,0.00097416,1.28365E-08,0.0380707317073171+2.63671317829457i,0.00235032617541219i,,,,,,,
2240,RANDE-2     220.00,2250,RANTE-2     220.00,1,17,0.00024,0.00196,0.00606,3.1,0.037470968,0.306012903,4.03892E-06,0.000974069,1.28563E-08,0.0374709677419355+0.506333333333333i,0.00231708229098091i,,,,,,,
2245,VAVUNIYA-2  220.00,2280,MANNAR-2    220.00,1,18,0.01099,0.056,0.10115,70,0.075988,0.3872,2.98554E-06,0.001232496,9.50326E-09,0.075988+7.13375796178344i,0.0027450665i,,,,,,,
2245,VAVUNIYA-2  220.00,2280,MANNAR-2    220.00,2,19,0.01099,0.056,0.10115,70,0.075988,0.3872,2.98554E-06,0.001232496,9.50326E-09,0.075988+7.13375796178344i,0.0027450665i,,,,,,,
2245,VAVUNIYA-2  220.00,2705,NEWANU-2    220.00,1,20,0.004345,0.03476,0.10736,55,0.038236,0.305888,4.03306E-06,0.000973672,1.28376E-08,0.038236+8.8i,0.00236192i,,,,,,,
2245,VAVUNIYA-2  220.00,2705,NEWANU-2    220.00,2,21,0.004345,0.03476,0.10736,55,0.038236,0.305888,4.03306E-06,0.000973672,1.28376E-08,0.038236+8.8i,0.00236192i,,,,,,,
2280,MANNAR-2    220.00,2281,NADUKUDA-2  220.00,1,22,0.00237,0.01896,0.05856,30,0.038236,0.305888,4.03306E-06,0.000973672,1.28376E-08,0.038236+4.8i,0.00236192i,,,,,,,
2280,MANNAR-2    220.00,2281,NADUKUDA-2  220.00,2,23,0.00237,0.01896,0.05856,30,0.038236,0.305888,4.03306E-06,0.000973672,1.28376E-08,0.038236+4.8i,0.00236192i,,,,,,,
2300,KELAN-2     220.00,2570,BIYAG-2     220.00,1,24,0.00134,0.00764,0.02361,12.5,0.0518848,0.2958208,3.90248E-06,0.000941627,1.2422E-08,0.0518848+1.42537313432836i,0.00320680661780105i,,,,,,,
2300,KELAN-2     220.00,2570,BIYAG-2     220.00,2,25,0.00134,0.00764,0.02361,12.5,0.0518848,0.2958208,3.90248E-06,0.000941627,1.2422E-08,0.0518848+1.42537313432836i,0.00320680661780105i,,,,,,,
2305,KERAWALA_2  220.00,2306,NEW_KERA2   220.00,1,26,0.000017,0.000212,0.016878,0.5,0.016456,0.205216,6.97438E-05,0.000653223,2.22001E-07,0.016456+0.124705882352941i,0.0262022988679245i,,,,,,,
2305,KERAWALA_2  220.00,2306,NEW_KERA2   220.00,2,27,0.000017,0.000212,0.016878,0.5,0.016456,0.205216,6.97438E-05,0.000653223,2.22001E-07,0.016456+0.124705882352941i,0.0262022988679245i,,,,,,,
2305,KERAWALA_2  220.00,2350,COL_L2      220.00,1,28,0.00046,0.00573,0.4557,13.5,0.016491852,0.205431111,6.97429E-05,0.000653908,2.21998E-07,0.0164918518518519+3.36326086956522i,0.0262315423695947i,,,,,,,
2306,NEW_KERA2   220.00,2580,KOTUG-2     220.00,1,29,0.001422,0.011376,0.035136,18,0.038236,0.305888,4.03306E-06,0.000973672,1.28376E-08,0.038236+2.88i,0.00236192i,,,,,,,
2306,NEW_KERA2   220.00,2580,KOTUG-2     220.00,2,30,0.001422,0.011376,0.035136,18,0.038236,0.305888,4.03306E-06,0.000973672,1.28376E-08,0.038236+2.88i,0.00236192i,,,,,,,
2307,NEW_KERA    220.00,2580,KOTUG-2     220.00,1,31,0.001413,0.01138,0.035143,18,0.037994,0.305995556,4.03386E-06,0.000974014,1.28402E-08,0.037994+2.89936305732484i,0.00234661360632689i,,,,,,,
2307,NEW_KERA    220.00,2580,KOTUG-2     220.00,2,32,0.001413,0.01138,0.035143,18,0.037994,0.305995556,4.03386E-06,0.000974014,1.28402E-08,0.037994+2.89936305732484i,0.00234661360632689i,,,,,,,
2560,PANNI-2     220.00,2570,BIYAG-2     220.00,1,33,0.00185,0.00942,0.01702,15.5,0.057767742,0.294147097,2.26873E-06,0.000936299,7.22159E-09,0.0577677419354839+1.57848648648649i,0.00208748825422916i,,,,,,,
2561,PANNI-D-2   220.00,2570,BIYAG-2     220.00,2,34,0.00185,0.00942,0.01702,15.5,0.057767742,0.294147097,2.26873E-06,0.000936299,7.22159E-09,0.0577677419354839+1.57848648648649i,0.00208748825422916i,,,,,,,
2561,PANNI-D-2   220.00,2970,PADUKKA_2   220.00,1,35,0.001517,0.012134,0.037478,15.2,0.048304474,0.386372105,5.09433E-06,0.001229861,1.62158E-08,0.0483044736842105+2.43159920896506i,0.00298393780243422i,,,,,,,
2561,PANNI-D-2   220.00,2970,PADUKKA_2   220.00,2,36,0.001517,0.012134,0.037478,15.2,0.048304474,0.386372105,5.09433E-06,0.001229861,1.62158E-08,0.0483044736842105+2.43159920896506i,0.00298393780243422i,,,,,,,
2570,BIYAG-2     220.00,2580,KOTUG-2     220.00,1,37,0.00308,0.01567,0.02832,19.6,0.076057143,0.386953061,2.98533E-06,0.00123171,9.50259E-09,0.0760571428571429+1.99436363636364i,0.00274912352994804i,,,,,,,
2570,BIYAG-2     220.00,2580,KOTUG-2     220.00,2,38,0.00308,0.01567,0.02832,19.6,0.076057143,0.386953061,2.98533E-06,0.00123171,9.50259E-09,0.0760571428571429+1.99436363636364i,0.00274912352994804i,,,,,,,
2580,KOTUG-2     220.00,2830,VEYAN-2     220.00,1,39,0.001343,0.010744,0.033184,17,0.038236,0.305888,4.03306E-06,0.000973672,1.28376E-08,0.038236+2.72i,0.00236192i,,,,,,,
2580,KOTUG-2     220.00,2830,VEYAN-2     220.00,2,40,0.001343,0.010744,0.033184,17,0.038236,0.305888,4.03306E-06,0.000973672,1.28376E-08,0.038236+2.72i,0.00236192i,,,,,,,
2691,NHAB-2      220.00,2705,NEWANU-2    220.00,1,41,0.00785,0.04,0.07225,50,0.075988,0.3872,2.98554E-06,0.001232496,9.50326E-09,0.075988+5.09554140127389i,0.0027450665i,,,,,,,
2705,NEWANU-2    220.00,2810,PUTTALAM-PS 220.00,1,42,0.009019,0.063492,0.185311,100,0.04365196,0.30730128,3.82874E-06,0.00097817,1.21873E-08,0.04365196+14.0796097128285i,0.00254809688135828i,,,,,,,
2705,NEWANU-2    220.00,2810,PUTTALAM-PS 220.00,2,43,0.009019,0.063492,0.185311,100,0.04365196,0.30730128,3.82874E-06,0.00097817,1.21873E-08,0.04365196+14.0796097128285i,0.00254809688135828i,,,,,,,
2810,PUTTALAM-PS 220.00,2815,NCHILAW-2   220.00,1,44,0.004304,0.04478,0.144367,74,0.028150486,0.292885405,4.0308E-06,0.000932283,1.28304E-08,0.0281504864864865+15.3983271375465i,0.00181509659785377i,,,,,,,
2810,PUTTALAM-PS 220.00,2815,NCHILAW-2   220.00,2,45,0.004304,0.04478,0.144367,74,0.028150486,0.292885405,4.0308E-06,0.000932283,1.28304E-08,0.0281504864864865+15.3983271375465i,0.00181509659785377i,,,,,,,
2815,NCHILAW-2   220.00,2830,VEYAN-2     220.00,1,46,0.003878,0.027302,0.079684,43,0.043650047,0.307306233,3.82875E-06,0.000978186,1.21873E-08,0.0436500465116279+6.05459515214028i,0.00254795275527988i,,,,,,,
2815,NCHILAW-2   220.00,2830,VEYAN-2     220.00,2,47,0.003878,0.027302,0.079684,43,0.043650047,0.307306233,3.82875E-06,0.000978186,1.21873E-08,0.0436500465116279+6.05459515214028i,0.00254795275527988i,,,,,,,
