From Bus Number,To Bus Number,A_5,B_5,C_5,D_5
2135,2220,(0.9925592755123673+0.00013667097155488256j),(0.6202992913292955+33.812836475778276j),(-2.0045223588650305e-08+0.00043847521783336476j),(0.9925592755123673+0.00013667097155488256j)
2135,2220,(0.9925592755123673+0.00013667097155488256j),(0.6202992913292955+33.812836475778276j),(-2.0045223588650305e-08+0.00043847521783336476j),(0.9925592755123673+0.00013667097155488256j)
2135,2400,(0.6726261697125829+0.0077052111713216j),(4.476262704840172+203.80317087908466j),(-8.153831236523137e-06+0.0026868910088312364j),(0.6726261697125829+0.0077052111713216j)
2135,2400,(0.6726261697125829+0.0077052111713216j),(4.476262704840172+203.80317087908466j),(-8.153831236523137e-06+0.0026868910088312364j),(0.6726261697125829+0.0077052111713216j)
2135,2970,(0.9601578026934673+0.000989383079751222j),(1.8982056142042196+76.9634142820342j),(-3.409975809551031e-07+0.0010147331202851708j),(0.9601578026934673+0.000989383079751222j)
2135,2970,(0.9601578026934673+0.000989383079751222j),(1.8982056142042196+76.9634142820342j),(-3.409975809551031e-07+0.0010147331202851708j),(0.9601578026934673+0.000989383079751222j)
2220,2225,(0.9950618354382181+0.00019394772688257833j),(1.4023556561260122+35.735361108415375j),(-1.7864455932614605e-08+0.00027569208515440535j),(0.9950618354382181+0.00019394772688257833j)
2220,2225,(0.9950618354382181+0.00019394772688257833j),(1.4023556561260122+35.735361108415375j),(-1.7864455932614605e-08+0.00027569208515440535j),(0.9950618354382181+0.00019394772688257833j)
2220,2230,(0.9860525577872118+0.00034513063528891053j),(1.1316166564913157+45.83843650964048j),(-6.997695168912255e-08+0.0006043049309402765j),(0.9860525577872118+0.00034513063528891053j)
2220,2230,(0.9860525577872118+0.00034513063528891053j),(1.1316166564913157+45.83843650964048j),(-6.997695168912255e-08+0.0006043049309402765j),(0.9860525577872118+0.00034513063528891053j)
2220,2570,(0.9242915081928736+0.0018579646362414323j),(2.5458523381677822+105.12517137181115j),(-8.897538616538863e-07+0.0013858374053718633j),(0.9242915081928736+0.0018579646362414323j)
2220,2570,(0.9242915081928736+0.0018579646362414323j),(2.5458523381677822+105.12517137181115j),(-8.897538616538863e-07+0.0013858374053718633j),(0.9242915081928736+0.0018579646362414323j)
2220,2691,(0.821078998470436+0.00680463333316322j),(7.558839362343614+205.57820476942743j),(-3.923770098126768e-06+0.00158502173186686j),(0.821078998470436+0.00680463333316322j)
2220,2691,(0.821078998470436+0.00680463333316322j),(7.558839362343614+205.57820476942743j),(-3.923770098126768e-06+0.00158502173186686j),(0.821078998470436+0.00680463333316322j)
2222,2300,(0.9994840438067669+8.598529289037486e-06j),(0.024191675835298455+1.4517504801479095j),(-2.03725929303464e-09+0.0007106222552911859j),(0.9994840438067669+8.598529289037486e-06j)
2230,2240,(0.9958535713011613+0.00010308953756448486j),(0.6226339764317251+25.060720429955353j),(-1.136957103345383e-08+0.00033022466765171603j),(0.9958535713011613+0.00010308953756448486j)
2240,2250,(0.9998515336177616+3.6358226109750807e-06j),(0.11614850353494949+4.742963825748604j),(-7.587305966896816e-11+6.260025113522576e-05j),(0.9998515336177616+3.6358226109750807e-06j)
