From Bus Number,To Bus Number,A,B,C,D
2135,2220,(0.9925592755123677+0.0001366709715548836j),(0.3101496456646478+16.90641823788914j),(-4.009044717730061e-08+0.0008769504356667295j),(0.9925592755123677+0.0001366709715548836j)
2135,2400,(0.6726261697125829+0.007705211171321598j),(2.238131352420086+101.90158543954234j),(-1.6307662473046274e-05+0.005373782017662473j),(0.6726261697125829+0.007705211171321598j)
2135,2970,(0.9601578026934672+0.000989383079751225j),(0.9491028071021096+38.48170714101709j),(-6.819951619102062e-07+0.0020294662405703416j),(0.9601578026934672+0.000989383079751225j)
2220,2225,(0.9950618354382184+0.00019394772688258708j),(0.701177828063006+17.86768055420769j),(-3.572891186522921e-08+0.0005513841703088107j),(0.9950618354382184+0.00019394772688258708j)
2220,2230,(0.9860525577872119+0.0003451306352889113j),(0.5658083282456579+22.919218254820247j),(-1.399539033782451e-07+0.001208609861880553j),(0.9860525577872119+0.0003451306352889113j)
2220,2570,(0.9242915081928738+0.0018579646362414334j),(1.2729261690838911+52.56258568590558j),(-1.7795077233077726e-06+0.0027716748107437265j),(0.9242915081928738+0.0018579646362414334j)
2220,2691,(0.821078998470436+0.00680463333316322j),(3.7794196811718077+102.78910238471371j),(-7.847540196253536e-06+0.00317004346373372j),(0.821078998470436+0.00680463333316322j)
2222,2300,(0.9994840438067669+8.598529289037486e-06j),(0.024191675835298455+1.4517504801479095j),(-2.03725929303464e-09+0.0007106222552911859j),(0.9994840438067669+8.598529289037486e-06j)
2230,2240,(0.9958535713011613+0.00010308953756448486j),(0.6226339764317251+25.060720429955353j),(-1.136957103345383e-08+0.00033022466765171603j),(0.9958535713011613+0.00010308953756448486j)
2240,2250,(0.9998515336177616+3.6358226109750807e-06j),(0.11614850353494949+4.742963825748604j),(-7.587305966896816e-11+6.260025113522576e-05j),(0.9998515336177616+3.6358226109750807e-06j)
2245,2280,(0.9300253482165948+0.002713967551841516j),(2.535365632223837+66.17445453669202j),(-1.9087115486934426e-06+0.0020408989988414178j),(0.9300253482165948+0.002713967551841516j)
2245,2705,(0.9537134670093269+0.0011481468849890877j),(1.0190182488959338+41.40906122198968j),(-8.542588780003989e-07+0.002183847397460701j),(0.9537134670093269+0.0011481468849890877j)
2280,2281,(0.9861533533437694+0.00034536448290008594j),(0.5682443756688332+22.835686053198437j),(-1.3954569031595016e-07+0.0012043257034337715j),(0.9861533533437694+0.00034536448290008594j)
2300,2570,(0.9977460867224686+7.903421068039773e-05j),(0.3237927158452169+9.237463598090304j),(-1.2855112350976992e-08+0.0004874442498421505j),(0.9977460867224686+7.903421068039773e-05j)
2305,2306,(0.9999552737044721+7.173029626519346e-07j),(0.004113877330588854+0.2565162488192324j),(-8.337940037888994e-11+0.00034871315636922324j),(0.9999552737044721+7.173029626519346e-07j)
2305,2350,(0.967537661159357+0.0005183708088503752j),(0.2178191027145327+13.716273773049181j),(-8.169955374577755e-07+0.004656582833366937j),(0.967537661159357+0.0005183708088503752j)
2306,2580,(0.9950078245681854+0.00012470034351036975j),(0.3429786200939094+13.742064591620382j),(-3.0195491902223484e-08+0.0007247407531418293j),(0.9950078245681854+0.00012470034351036975j)
2307,2580,(0.9950050619947816+0.0001239360821583733j),(0.3408072394564586+13.746878588160298j),(-3.00165193862973e-08+0.0007248868658553859j),(0.9950050619947816+0.0001239360821583733j)
2560,2570,(0.9979965629578876+7.866496166776256e-05j),(0.8942040431268798+22.781190706016908j),(-4.611694844376027e-09+0.0001757090944138303j),(0.9979965629578876+7.866496166776256e-05j)
2561,2570,(0.9979965629578876+7.866496166776256e-05j),(0.8942040431268798+22.781190706016908j),(-4.611694844376027e-09+0.0001757090944138303j),(0.9979965629578876+7.866496166776256e-05j)
2561,2970,(0.9943208923019258+0.00014186640638844908j),(0.3657239512683159+14.654357689643174j),(-3.6645407079347766e-08+0.0007728738506144812j),(0.9943208923019258+0.00014186640638844908j)
2570,2580,(0.9944579374269827+0.00021766103455704325j),(0.7426058616029853+18.925716375201066j),(-4.24843331275999e-08+0.0005840427012932623j),(0.9944579374269827+0.00021766103455704325j)
2580,2830,(0.995546702389252+0.00011124965303849645j),(0.32404102965897236+12.98095175269969j),(-2.5440066986459136e-08+0.0006846006104981655j),(0.995546702389252+0.00011124965303849645j)
2691,2705,(0.964091643422948+0.0014008938314450318j),(3.708392213707924+95.64035587353922j),(-3.5022546909748614e-07+0.0007374289458460361j),(0.964091643422948+0.0014008938314450318j)
2705,2810,(0.8564945263536948+0.003976466911441141j),(1.9732737792872237+73.11690827887236j),(-5.177361664525995e-06+0.0036437908622597446j),(0.8564945263536948+0.003976466911441141j)
2810,2815,(0.9202728486947712+0.0015118802225825277j),(0.9861323487430227+52.73654627756085j),(-1.51965378264613e-06+0.0029030848996345294j),(0.9202728486947712+0.0015118802225825277j)
2815,2830,(0.972928773687656+0.0007655526913639318j),(0.9215312314152663+32.73701220197544j),(-4.2165736579245735e-07+0.0016314805548413142j),(0.972928773687656+0.0007655526913639318j)
